大黄、炒牵牛子、槟榔、人参、朱砂	消食导滞，祛痰通便
龙血竭、三七、浙贝母、薏苡仁	软坚散结，化瘀定痛
地黄、熟地黄、制何首乌、当归、丹参、炒白芍、五味子、羌活、木瓜	补益肝肾，养血生发
断血流	凉血止血
熟大黄	清热解毒，泻火通便
鸡血藤、黄芪、大枣、当归、白术、陈皮、硫酸亚铁	补脾益气，健脾和胃
磁石、石膏、滑石、南寒水石、硝石、芒硝、栀子、竹心、广升麻、穿心莲、珍珠层粉、沉香、人工牛黄、冰片	清热解毒
山药、熟地黄、杜仲（姜汁炒）、肉苁蓉、山茱萸（蒸）、茯苓、菟丝子、巴戟天、泽泻、牛膝、五味子（蒸）、煅赤石脂	健脾补肾
羌活、细辛、白芷、甘松、木香、艾叶炭	行气血，逐寒湿
昆明山海棠	祛风除湿，舒筋活络，清热解毒
桔梗、熟大黄、天花粉、石膏、麦冬、玄参、栀子、蒺藜、蝉蜕、甘草、陈皮、菊花、车前子、当归、黄芩、赤芍、黄连、枳壳、薄荷脑、连翘、荆芥油	清热散风，明目止痛
熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻、枸杞子、菊花、当归、白芍、蒺藜、煅石决明	滋肾，养肝，明目
熟地黄、盐车前子、茯苓、柴胡、牛膝、五味子（酒蒸）、肉桂、泽泻、三七、附片（黑顺片）、山药、黄连、牡丹皮	益肾固冲，调经止血
油菜花粉	补肾固本
猪牙皂、细辛、薄荷、广藿香、木香、白芷、防风、陈皮、清半夏、桔梗、甘草、贯众、枯矾、雄黄、朱砂	祛寒辟瘟，化浊开窍
当归、白芷、乌药、小茴香、八角茴香、木香、香附、乳香、母丁香、没药、肉桂、沉香、人工麝香	温里散寒，行气止痛
地黄、泽泻、麦冬、熟地黄、玄参、茯苓、仙茅、磁石、牡丹皮、珍珠母、五味子、首乌藤、制何首乌、浮小麦、钩藤	滋阴清热，除烦安神
木瓜、当归、川芎、白芷、威灵仙、狗脊（制）、牛膝、鸡血藤、海风藤、人参、制川乌、制草乌	祛风散寒，除湿通络
木香、砂仁、丁香、檀香、醋香附、广藿香、陈皮、姜厚朴、枳实、豆蔻、醋莪术、炒山楂、白术（麸炒）、甘松、槟榔、甘草	宽胸消胀，理气止呕
木香、槟榔、枳壳（炒）、陈皮、青皮（醋炒）、香附（醋制）、醋三棱、莪术（醋炙）、黄连、黄柏（酒炒）、大黄、炒牵牛子、芒硝	行气导滞，泻热通便
木香、砂仁、醋香附、槟榔、甘草、陈皮、厚朴、枳壳（炒）、苍术（炒）、青皮（炒）、生姜	行气化湿，健脾和胃
苦杏仁、紫苏叶、前胡、桔梗、陈皮、甘草	宣肺散寒，止咳祛痰
枸杞子、菊花、熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻	滋肾养肝
枸杞子、菊花、熟地黄、酒萸肉、牡丹皮、山药、茯苓、盐泽泻	滋肾养肝
鲜松叶、葛根、珍珠层粉	平肝潜阳，镇心安神
板蓝根、大青叶	清热解毒，凉血消肿
板蓝根	清热解毒，凉血利咽
枇杷叶	清肺润燥，止咳化痰
枇杷叶、罂粟壳、百部、白前、桑白皮、桔梗、薄荷脑	止嗽化痰
枇杷叶、百部、罂粟壳、白前、桑白皮、桔梗、薄荷脑	止咳化痰
炒酸枣仁、丹参、醋五味子	养血安神
枳实（炒）、大黄、黄连（姜汁炙）、黄芩、六神曲（炒）、白术（炒）、茯苓、泽泻	消积导滞，清利湿热
枳实（炒）、麸炒白术	健脾消食，行气化湿
麸炒枳实、麸炒白术、荷叶	健脾消食，行气化湿
柏子仁、党参、炙黄芪、川芎、当归、茯苓、制远志、酸枣仁、肉桂、醋五味子、半夏曲、炙甘草、朱砂	补气，养血，安神
柴胡	解表退热
茯苓、麸炒枳壳、豆蔻、酒白芍、甘草、醋香附、陈皮、桔梗、姜厚朴、炒山楂、防风、六神曲（炒）、柴胡、黄芩、薄荷、紫苏梗、木香、炒槟榔、醋三棱、酒大黄、青皮（炒）、当归、姜半夏、乌药、醋莪术	舒肝理气，消胀止痛
麻黄、柴胡、广藿香、肉桂、连翘、桔梗	解表宣肺，化湿和中
柴胡、黄芩、葛根、荆芥、青蒿、连翘、桔梗、苦杏仁、薄荷、鱼腥草	清热解毒，利咽止咳
柴胡、黄芩	清热解表
栀子、黄连、黄芩、黄柏、大黄、金银花、知母、天花粉	清热泻火，凉血解毒
栀子、黄芩、连翘、淡竹叶、甘草、薄荷油	疏风散热，清热解毒
白芍、葛根、桃仁（燀）、红花、乳香（醋炙）、没药（醋炙）、续断、烫狗脊、伸筋草、牛膝、地黄、甘草	活血，通络，止痛
西瓜霜、煅硼砂、黄柏、黄连、山豆根、射干、浙贝母、青黛、冰片、无患子果（炭）、大黄、黄芩、甘草、薄荷脑	清热解毒，消肿止痛
桂枝、茯苓、牡丹皮、赤芍、桃仁	活血，化瘀，消癥
桂枝、茯苓、牡丹皮、桃仁、白芍	活血，化瘀，消癥
桂枝、白芍、党参、半夏（制）、柴胡、黄芩、甘草、生姜、大枣	调和营卫，清肝胆
肉桂、附子（制）、熟地黄、酒萸肉、牡丹皮、山药、茯苓、泽泻	温补肾阳
肉桂、附片、党参、炒白术、炮姜、炙甘草	补肾助阳，温中健脾
桂枝、龙骨、白芍、生姜、大枣、炙甘草、牡蛎、黄连、法半夏、瓜蒌皮、炒苦杏仁	止咳化痰，降气平喘
桑叶、菊花、紫苏叶、连翘、苦杏仁、干姜	散风清热，宣肺止咳
桑叶、菊花、连翘、薄荷素油、桔梗、甘草、芦根	疏风清热，宣肺止咳
桑叶、菊花、连翘、薄荷、苦杏仁、桔梗、甘草、芦根	疏风清热，宣肺止咳
桑叶、菊花、连翘、薄荷素油、、桔梗、甘草、芦根	疏风清热，宣肺止咳
桑寄生、葛根、山药、大黄、山楂、丹参、红花、泽泻、茵陈、蒲公英	补肾健脾，通下化瘀，清热利湿
牛黄、珍珠、人工麝香、蟾酥（制）、熊胆粉、雄黄、朱砂、硼砂、葶苈子、乳香（制）、没药（制）、血竭、沉香、冰片	清热解毒，消肿止痛
槐角（清炒）、地榆炭、黄芩、麸炒枳壳、当归、防风	清肠疏风，凉血止血
槟榔、酒大黄、炒牵牛子、猪牙皂（炒）、醋香附、五灵脂（醋炙）	消食导滞，行气泻水
化橘红、陈皮、半夏（制）、茯苓、甘草、桔梗、苦杏仁、炒紫苏子、紫菀、款冬花、瓜蒌皮、浙贝母、地黄、麦冬、石膏	清肺，化痰，止咳
化橘红、锦灯笼、川贝母、炒苦杏仁、罂粟壳、五味子、白矾、甘草	敛肺化痰，止咳平喘
化橘红、陈皮、法半夏、茯苓、甘草、桔梗、苦杏仁、炒紫苏子、紫菀、款冬花、瓜蒌皮、浙贝母、地黄、麦冬、石膏	清肺，化痰，止咳
化橘红、蜜百部、茯苓、半夏（制）、白前、甘草、苦杏仁、五味子	理气化痰，润肺止咳
化橘红、陈皮、法半夏、茯苓、甘草、桔梗、苦杏仁、炒紫苏子、紫菀、款冬花、瓜蒌皮、浙贝母、地黄、麦冬、石膏	清肺，化痰，止咳
满山红、桔梗、炙甘草	止咳，平喘，祛痰
紫菀、橘红、桔梗、枳壳、百部、五味子、陈皮、干姜、荆芥、罂粟壳浸膏、甘草、氯化铵、前胡、薄荷素油	宣肺祛痰，止咳平喘
化橘红、陈皮、法半夏、茯苓、甘草、炒紫苏子、炒苦杏仁、紫菀、款冬花、麦冬、瓜蒌皮、知母、桔梗、地黄、石膏	清肺，止咳，化痰
化橘红、陈皮、法半夏、茯苓、款冬花、甘草、瓜蒌皮、紫菀、麦冬、知母、桔梗、地黄、石膏、苦杏仁（去皮炒）、炒紫苏子	清肺，止咳，化痰
麻黄、洋金花、苦杏仁、连翘	宣肺平喘，祛痰止咳
罂粟壳、桔梗、知母、前胡、陈皮、大黄（制）、炙甘草、川贝母、石膏、苦杏仁、紫苏叶、葶苈子、款冬花（制）、百部（制）、玄参、麦冬、密蒙花、天冬、五味子（制）、枳壳（炒）、瓜蒌子、半夏（姜制）、木香、马兜铃（制）、桑叶	清肺化痰，止嗽定喘
麻黄、苦杏仁、甘草、石膏	辛凉宣泄，清肺平喘
党参、炙黄芪、炒白术、丹参、当归、鸡血藤、三棱、莪术、芡实、山药、延胡索、川楝子、鱼腥草、北败酱、蜈蚣、全蝎、土鳖虫、炮姜、肉桂	益气活血，散结止痛
党参、炙黄芪、炒白术、丹参、当归、鸡血藤、三棱、莪术、芡实、山药、延胡索、川楝子、鱼腥草、北败酱、蜈蚣、全蝎、土鳖虫、炮姜、肉桂	益气活血，散结止痛
丁香、血竭、当归、熟大黄、木香、儿茶、红花、骨碎补（烫）、土鳖虫、乳香（制）、没药（制）、赤芍、自然铜（煅）、甘草	舒筋活血，消瘀止痛
穿心莲、苦参、木香	清热祛湿，行气止痛
地黄（炭）、当归、黄芩、地榆炭、栀子、白芍、槐花、阿胶、荆芥穗、侧柏炭、黄连、乌梅、升麻	清热凉血，养血止血
阿胶、附片（黑顺片）、川芎、大黄	止血祛瘀，滋阴复脉
三七、煅花蕊石、海螵蛸、甘草	散瘀，止血，止痛
钩藤、白芍、川芎、当归、地黄、白芷、防风、羌活、桃仁、红花、细辛、独活、麻黄、黑顺片、鸡血藤	疏风活血，养血平肝，通络止痛
钩藤、川芎、麻黄、细辛、黑顺片、白芍、羌活、独活、防风、地黄、当归、鸡血藤、桃仁、红花、白芷	疏风活血，养血平肝，通络止痛
黄芪、葛根、丹参、槲寄生、山楂、川芎	补气活血，化瘀通络
黄芪、葛根、丹参、槲寄生、山楂、川芎	补气活血，化瘀通络
羊红膻、决明子、陈皮、何首乌、黄芪、丹参、葛根、槐米	益气活血，祛痰降浊
柴胡、陈皮、防风、甘草、赤芍、生姜	发散风寒，解热止痛
盐酸青藤碱	祛风除湿，活血通络，消肿止痛
薄荷脑、薄荷素油、樟脑、樟油、桉油、丁香罗勒油	驱风兴奋，局部止痛，止痒
熊胆粉、酒大黄、儿茶、冰片、胡黄连、香墨、玄明粉	清热，解毒，通便
柴胡、醋延胡索、枳壳、醋香附、炙甘草、白芍	舒肝理气，和胃止痛
柴胡、醋延胡索、枳壳、醋香附、白芍、炙甘草	舒肝理气，和胃止痛
木香、甘草、煅赤石脂、枳实（炒）、朱砂粉	行气止痛，健胃消滞
汉桃叶	祛风止痛，舒筋活络
三七、川芎、白芷、当归、土鳖虫、红花、延胡索	活血止痛，祛瘀生新
沉香、木香、广藿香、醋香附、砂仁、陈皮、醋莪术、六神曲（炒）、炒麦芽、甘草	理气疏肝，消积和胃
生关白附、防风、羌活、虎掌南星（姜矾制）、白芷	祛风散结，消肿止痛
枇杷叶、桔梗、水半夏、川贝母、薄荷脑	清热化痰止咳
枇杷叶、桔梗、水半夏、川贝母流浸膏	清热化痰止咳
黄柏、苦参、儿茶、枯矾、冰片	清热解毒，燥湿收敛
槲叶干浸膏、滑石粉	清热利湿，行气化瘀
连翘、金银花、黄芩	清热解毒，疏风解表
酒黄连、苍术（炒）、酒白芍、木香、吴茱萸（盐炙）、姜厚朴、槟榔、枳壳（炒）、陈皮、泽泻、茯苓、甘草	清热燥湿，行气止痛
龙胆、黄芩、栀子（姜炙）、珍珠母、牡蛎、龙骨、柏子仁、炒酸枣仁、制远志、当归、地黄、麦冬、蒺藜（去刺盐炙）、茯苓、盐车前子、盐泽泻、甘草	清肝泻火，重镇安神
龙胆、酒大黄、防风、羌活、栀子、川芎、当归、青黛	清肝泻火
诃子（煨）、南寒水石、翼首草、五灵脂膏、土木香、石榴子、木瓜、沉香、丁香、石灰华、红花、肉豆蔻、草豆蔻、草果仁	健脾和胃，止痛止吐，分清泌浊
罂粟壳、五味子（醋炙）、川贝母、陈皮、砂仁、枳实、麻黄、苦杏仁、石膏、甘草、玄参、西洋参	滋阴补肺，止嗽定喘
人参、黄精、麸炒苍术、苦参、麦冬、地黄、制何首乌、山茱萸、茯苓佩兰、黄连、知母、炙淫羊藿、丹参、粉葛、荔枝核、地骨皮	益气养阴，健脾运津
制何首乌、淫羊藿、黄精（制）、枸杞子、黄芪、丹参	益气补血，滋养肝肾
制川乌、红花、血竭、乳香（去油）、没药（去油）、土鳖虫、地龙、全蝎、川牛膝、桂枝、人参	祛风活血，强腰壮筋
当归、三七、乳香（制）、冰片、土鳖虫、煅自然铜	活血散瘀，消肿止痛
当归、三七、醋乳香、冰片、土鳖虫、煅自然铜	活血散瘀，消肿止痛
干姜、山柰、白芷、甘松、大黄、生天南星、生半夏、没药、乳香、冰片、薄荷脑、樟脑、陈皮、当归、丁香、胡椒、香加皮、细辛、荆芥、桂枝、辛夷、川芎、独活、牡丹皮、辣椒、苍术、颠茄流浸膏、水杨酸甲酯	活血止痛，舒筋通络
当归、三七、醋乳香、冰片、土鳖虫、煅自然铜	活血散瘀，消肿止痛
鸡血藤、桃仁、丹参、赤芍、红花、降香、郁金、三七、川芎、陈皮、木香、石菖蒲、枸杞子、酒黄精、人参、麦冬、冰片	行气活血，通脉止痛
熟地黄、山茱萸（制）、牡丹皮、山药、茯苓、泽泻、肉桂、附子（制）、牛膝、车前子	温肾化气，利水消肿
满山红	止咳，祛痰，平喘
黄芪、当归、赤芍、地龙、川芎、桃仁、红花	补气，活血，通络
川芎、丹参、黄芪、泽泻、三七、槐花、桂枝、郁金、木香、冰片、山楂	活血化瘀，温经通络
黄芪、当归、赤芍、地龙、红花、川芎、桃仁	补气活血通络
葛根、地黄、黄芪、天花粉、玉米须、南五味子、山药、格列本脲	滋肾养阴，益气生津
人参、黄连、天花粉、天冬、黄芪、丹参、枸杞子、沙苑子、葛根、知母、五倍子、五味子	益气养阴，清热泻火
地黄、五味子、麦冬、牡丹皮、黄芪、黄连、茯苓、红参、天花粉、石膏、枸杞子	益气养阴，清热泻火，生津止渴
穿心莲、溪黄草、苦木	清热，祛湿，利胆
胡颓子叶、桔梗、太子参、百部、罂粟壳、麻黄、黄荆子、南沙参、穿心莲	消炎，镇咳，化痰，定喘
颠茄流浸膏、樟脑、冰片、薄荷脑、麝香草酚、盐酸苯海拉明、水杨酸甲酯、桉油	消炎，活血，镇痛
大青叶、蒲公英、紫花地丁、甘草	清热解毒，凉血消肿
熊胆粉、地榆、冰片	凉血止血，消肿止痛
升麻、柴胡、麦冬、野菊花、黄芩、玄参、石膏、石斛、龙胆、大青叶、金银花、竹茹、蒲公英、淡竹叶、夏枯草、紫草	清热利湿，解毒散结
当归、苏木、木香、赤芍、泽兰、乳香、地黄、泽泻、没药、川芎、川木通、川牛膝、桃仁、续断、甘草、红花、香附	活血化瘀，消肿止痛
昆布、海藻、蛤壳、浙贝母、桔梗、夏枯草、陈皮、槟榔	散结消瘿
柴胡、香附、酒大黄、青皮、川芎、莪术、土鳖虫、浙贝母、当归、白芍、王不留行	舒肝行气，活血化瘀，软坚散结
火炭母、鸡矢藤、姜半夏、白术、天麻、丹参、当归、白芍、茯苓、木瓜、枳实、砂仁、石菖蒲、白芷	豁痰，化瘀，平肝
人参茎叶皂苷、紫草、黄柏、苦参、枯矾、冰片、儿茶	清热解毒，燥湿杀虫，祛腐生肌
芫花条、绿豆	散风祛湿
木香、防风、荆芥、细辛、五加皮、桂枝、牛膝、川芎、徐长卿、白芷、莪术、红杜仲、大罗伞、小罗伞、两面针、黄藤、栀子、三棱、沉香、樟脑、薄荷脑	舒筋活络，消肿止痛
